# Метеостанция Алматы, Казахстан, WMO_ID=36870, выборка с 01.01.2018 по 09.04.2018, все дни;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Кодировка: UTF-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Местное время в Алматы;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
01.03.2018 09:00;10,2;685,3;758,0;-2,4;60;Ветер, дующий с юго-запада;1;;;100%.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";20–30%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;4,0;2,6;;;;;;
01.03.2018 06:00;2,9;687,7;762,6;-0,7;95;Штиль, безветрие;0;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Туман или ледяной туман, неба не видно, начался или усилился в течение последнего часа. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;;;;;;;2,2;;;;;;
01.03.2018 03:00;3,9;688,4;763,2;-0,8;89;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;2,2;;;;;;
01.03.2018 00:00;6,3;689,2;763,5;-1,2;63;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;11,9;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-0,4;;;;;;
28.02.2018 21:00;9,2;690,4;764,0;0,1;59;Штиль, безветрие;0;;;100%.; ;;;;11,9;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;1,6;;;;;;
28.02.2018 18:00;10,5;690,3;763,5;0,3;58;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";10,0;2,4;;;;;;
28.02.2018 15:00;10,2;690,0;763,3;-0,4;53;Штиль, безветрие;0;;;100%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;10,0;0,9;;;;;;
28.02.2018 12:00;10,2;690,4;763,7;0,6;49;Ветер, дующий с юго-запада;1;;;90  или более, но не 100%; ;;;2,6;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";10,0;0,0;;;;;;
28.02.2018 09:00;2,9;689,8;765,1;1,8;82;Ветер, дующий с юго-запада;1;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";10,0;0,1;;;;;;
28.02.2018 06:00;5,4;688,0;762,4;-0,5;58;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;;-2,2;;;;;;
28.02.2018 03:00;7,1;688,5;762,4;-0,8;51;Ветер, дующий с востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-2,5;;;;;;
28.02.2018 00:00;7,2;689,3;763,3;-1,4;54;Штиль, безветрие;0;;;20–30%.; ;;;;9,3;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-1,7;11;12;;;;
27.02.2018 21:00;7,5;690,7;764,7;-0,6;70;Штиль, безветрие;0;;;100%.; ;;;;9,3;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;;2,4;11;12;;;;
27.02.2018 18:00;6,3;691,3;765,7;0,0;77;Ветер, дующий с севера;1;;;100%.;Ливневый(ые) дождь(и). ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;10,0;2,6;;;;;;
27.02.2018 15:00;7,4;691,3;765,4;1,0;87;Ветер, дующий с востоко-юго-востока;1;;;100%.;Ливневый(ые) дождь(и) умеренный(ые) или сильный(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Ливень (ливни).;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;4,0;5,3;;;;;;
27.02.2018 12:00;7,3;690,3;764,3;2,3;80;Ветер, дующий с западо-северо-запада;1;;;100%.;Ливневый(ые) дождь(и) умеренный(ые) или сильный(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;2,4;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;4,0;4,0;Следы осадков;12;;;;
27.02.2018 09:00;4,9;688,0;762,4;2,1;75;Штиль, безветрие;0;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;4,0;0,7;Следы осадков;12;;;;
27.02.2018 06:00;3,7;685,9;760,4;0,9;80;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;0,5;;;;;;
27.02.2018 03:00;2,9;685,0;759,7;0,2;85;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;;0,6;;;;;;
27.02.2018 00:00;3,8;684,8;759,3;0,4;78;Ветер, дующий с юго-востока;1;;;100%.; ;;;;9,0;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;;0,3;;;;;;
26.02.2018 21:00;4,8;684,4;758,5;0,0;73;Штиль, безветрие;0;;;100%.; ;;;;9,0;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;0,4;;;;;;
26.02.2018 18:00;6,8;684,4;757,9;-0,6;59;Ветер, дующий с западо-юго-запада;1;;;100%.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;4,0;-0,7;;;;;;
26.02.2018 15:00;8,1;685,0;758,2;-1,8;53;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;-1,1;;;;;;
26.02.2018 12:00;4,7;686,8;761,2;-0,9;69;Штиль, безветрие;0;;;70 – 80%.;Состояние неба в общем не изменилось. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение всего соответствующего периода.;-2,2;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;-0,6;;;;;;
26.02.2018 09:00;-1,0;687,7;763,9;-1,0;97;Штиль, безветрие;0;;;100%.;Туман или ледяной туман.  Диаметр отложения при гололеде составляет;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;-1,4;;;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.;4
26.02.2018 06:00;-1,8;688,7;765,2;-1,3;98;Штиль, безветрие;0;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;;;;;;;-2,1;;;;;;
26.02.2018 03:00;-1,5;690,0;766,6;-0,7;96;Штиль, безветрие;0;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Туман или ледяной туман, неба не видно, начался или усилился в течение последнего часа. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;;;;;;;-2,1;;;;;;
26.02.2018 00:00;0,1;690,7;766,8;-0,6;92;Ветер, дующий с севера;1;;;Облаков нет.; ;;;;2,8;;;;;;;-1,0;;;;;;
25.02.2018 21:00;0,8;691,3;767,4;0,0;87;Штиль, безветрие;0;;;100%.; ;;;;2,8;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-1,1;;;;;;
25.02.2018 18:00;2,0;691,3;767,0;-0,5;78;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;10,0;-1,5;;;;;;
25.02.2018 15:00;0,3;691,8;768,1;0,1;89;Ветер, дующий с северо-северо-востока;1;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;300-600;;;1,0;-1,4;;;;;;
25.02.2018 12:00;0,9;691,7;767,8;0,7;82;Штиль, безветрие;0;;;100%.;Дымка. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение всего соответствующего периода.;-2,2;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;600-1000;;;4,0;-1,9;;;;;;
25.02.2018 09:00;-1,7;691,0;767,8;1,3;96;Ветер, дующий с западо-юго-запада;1;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Туман или ледяной туман, неба не видно, ослабел за последний час. ;Туман или ледяной туман или сильная мгла.;Туман или ледяной туман или сильная мгла.;;;;;;;;0,5;-2,2;;;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.;5
25.02.2018 06:00;-1,9;689,7;766,3;0,2;96;Штиль, безветрие;0;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ;Туман или ледяной туман или сильная мгла.;Туман или ледяной туман или сильная мгла.;;;;;;;;;-2,5;;;;;;
25.02.2018 03:00;-1,7;689,5;766,0;-0,4;96;Штиль, безветрие;0;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ;Туман или ледяной туман или сильная мгла.;Туман или ледяной туман или сильная мгла.;;;;;;;;;-2,3;;;;;;
25.02.2018 00:00;-0,7;689,9;766,2;-0,3;94;Штиль, безветрие;0;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Туман или ледяной туман, неба не видно, начался или усилился в течение последнего часа. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение всего соответствующего периода.;;13,0;;;;;;;-1,5;;;;;;
24.02.2018 21:00;2,6;690,2;765,6;0,2;81;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;13,0;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-0,3;;;;;;
24.02.2018 18:00;5,9;690,0;764,5;0,5;62;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";10,0;-1,0;;;;;;
24.02.2018 15:00;9,0;689,5;763,0;0,3;44;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;10,0;-2,8;;;;;;
24.02.2018 12:00;11,3;689,2;762,1;1,2;35;Штиль, безветрие;0;;;100%.; ;;;-0,4;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;10%  или менее, но не 0;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20,0;-3,8;;;;;;
24.02.2018 09:00;6,3;688,0;762,2;1,2;47;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;-4,4;;;;;;
24.02.2018 06:00;1,4;686,8;762,2;0,4;72;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-3,1;;;;;;
24.02.2018 03:00;0,1;686,4;762,1;0,8;83;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-2,4;;;;;;
24.02.2018 00:00;-0,1;685,6;761,3;-0,6;90;Ветер, дующий с западо-юго-запада;1;;;Облаков нет.; ;;;;8,0;;;;;;;-1,5;;;;;;
23.02.2018 21:00;1,3;686,2;761,5;-0,4;87;Штиль, безветрие;0;;;Облаков нет.; ;;;;8,0;;;;;;;-0,6;;;;;;
23.02.2018 18:00;4,9;686,6;760,9;-0,8;69;Штиль, безветрие;0;;;50%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;-0,4;;;;;;
23.02.2018 15:00;7,0;687,4;761,3;-1,7;49;Штиль, безветрие;0;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;-3,0;;;;;;
23.02.2018 12:00;2,5;689,1;764,4;-1,0;74;Ветер, дующий с юго-юго-запада;1;;;20–30%.;Состояние неба в общем не изменилось. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение всего соответствующего периода.;-3,0;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;-1,8;;;;;;
23.02.2018 09:00;-2,3;690,1;766,9;-1,2;96;Штиль, безветрие;0;;;100%.;Туман или ледяной туман.  Диаметр отложения при гололеде составляет 1 мм.;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;50%.;100-200;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;1,0;-2,9;;;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;12
23.02.2018 06:00;-1,8;691,3;768,1;-1,1;98;Штиль, безветрие;0;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;;;;;;;-2,1;;;;;;
23.02.2018 03:00;-1,3;692,4;769,2;-0,7;98;Штиль, безветрие;0;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Туман или ледяной туман, неба не видно, начался или усилился в течение последнего часа. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;;;;;;;-1,6;;;;;;
23.02.2018 00:00;0,0;693,1;769,6;-0,1;92;Штиль, безветрие;0;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;4,5;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;;-1,1;Следы осадков;12;;;;
22.02.2018 21:00;0,4;693,2;769,6;0,7;89;Штиль, безветрие;0;;;100%.; ;;;;4,5;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;;-1,3;Следы осадков;12;;;;
22.02.2018 18:00;3,3;692,5;767,9;0,3;76;Ветер, дующий с севера;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;-0,6;;;;;;
22.02.2018 15:00;3,1;692,2;767,7;-0,8;79;Штиль, безветрие;0;;;50%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;50%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;4,0;-0,3;;;;;;
22.02.2018 12:00;3,5;693,0;768,4;-1,3;86;Ветер, дующий с северо-востока;1;;;100%.;Дымка. ;Ливень (ливни).;Туман или ледяной туман или сильная мгла.;-0,2;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;4,0;1,3;0,9;12;;;;
22.02.2018 09:00;0,7;694,3;770,6;0,6;94;Штиль, безветрие;0;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Туман или ледяной туман или сильная мгла.;;;;;;;;0,5;-0,1;0,9;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;15
22.02.2018 06:00;-0,1;693,7;770,3;-0,3;96;Штиль, безветрие;0;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Туман или ледяной туман или сильная мгла.;;;;;;;;;-0,7;;;;;;
22.02.2018 03:00;1,3;694,0;770,2;0,1;93;Ветер, дующий с северо-северо-востока;1;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Ливень (ливни).;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;0,3;;;;;;
22.02.2018 00:00;1,3;693,9;770,1;0,2;94;Ветер, дующий с севера;1;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Туман или ледяной туман или сильная мгла.;;6,0;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;0,5;3;12;;;;
21.02.2018 21:00;0,9;693,7;769,9;0,6;97;Штиль, безветрие;0;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Туман или ледяной туман или сильная мгла.;;6,0;;;;;;;0,4;3;12;;;;
21.02.2018 18:00;0,7;693,1;769,3;0,3;94;Штиль, безветрие;0;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Ливень (ливни).;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;1,0;-0,1;;;;;;
21.02.2018 15:00;2,0;692,8;768,6;0,1;88;Ветер, дующий с севера;1;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Ливень (ливни).;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;10,0;0,2;;;;;;
21.02.2018 12:00;3,8;692,7;767,9;1,8;83;Штиль, безветрие;0;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-5,1;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;10,0;1,1;;;;;;
21.02.2018 09:00;3,3;690,9;766,3;4,3;36;Ветер, дующий с юго-запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;-10,5;;;;;;
21.02.2018 06:00;-2,9;686,6;763,3;0,8;56;Ветер, дующий с западо-северо-запада;1;;2;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-10,5;;;;;;
